'	exclamation	lex112884.1_ἒ
θώρηξ	noun	lex29131.1_θώραξ
θώρηχ'	noun	lex29131.1_θώραξ
θάλασσα	noun	lex27206.1_θάλασσα
θάλασσαν	noun	lex27206.1_θάλασσα
θάμβος	noun	lex27219.1_θάμβος
θάνατον	noun	lex27224.1_θάνατος
θάνε	verb	lex28406.1_θνήσκω
θάρσει	verb	lex27504.1_θαρσέω
θάρσει	noun	lex27230.1_θάρσος
θάρσος	noun	lex27230.1_θάρσος
θάψαντες	verb	lex27227.1_θάπτω
θέλγειν	verb	lex27251.1_θέλγω
θέλει	verb	lex102547.1_ἐθέλω
θέλεις	verb	lex102547.1_ἐθέλω
θέματος	noun	lex27260.1_θέμα
θέσαν	verb	lex73002.1_τίθημι
θέσεως	noun	lex27294.1_θέσις
θέσφατα	adjective	lex27303.1_θέσφατος
θὴν	particle	lex27313.1_θήν
θήλεας	adjective	lex29139.1_θῆλυς
θήλειαι	adjective	lex29139.1_θῆλυς
θήλειαν	adjective	lex29139.1_θῆλυς
θήλειαν	verb	lex27211.1_θάλλω
θήραις	noun	lex27316.1_θήρα
θήσεσθαι	verb	lex73002.1_τίθημι
θήσεται	verb	lex73002.1_τίθημι
θόρυβον	noun	lex29063.1_θόρυβος
θύεται	verb	lex29126.1_θύω2
θύεται	verb	lex29125.1_θύω1
θύμως	noun	lex29085.1_θύμος
θύμως	verb	lex28875.1_θυμόω
θύοντες	verb	lex29126.1_θύω2
θύοντες	verb	lex29125.1_θύω1
θύραν	noun	lex29096.1_θύρα
θύρας	noun	lex29096.1_θύρα
θύρσους	noun	lex29109.1_θύρσος
θύρσους	verb	lex28970.1_θυρσόω
θύτην	noun	lex29003.1_θυτήρ
θύτην	noun	lex29122.1_θύτης
θώρακα	noun	lex29131.1_θώραξ
θώρακι	noun	lex29131.1_θώραξ
θώρακος	noun	lex29131.1_θώραξ
θώραξ	noun	lex29131.1_θώραξ
θώρηκα	noun	lex29131.1_θώραξ
θᾶσσον	adjective	lex73535.1_ταχύς
θᾶσσον	adjective	lex27233.1_θάσσων
θᾶττον	adjective	lex73535.1_ταχύς
θᾶττον	adjective	lex27233.1_θάσσων
θῆκ'	verb	lex73002.1_τίθημι
θῆκ'	noun	lex27311.1_θήκη
θῆκαν	verb	lex73002.1_τίθημι
θῆκε	verb	lex73002.1_τίθημι
θῆλυν	adjective	lex29139.1_θῆλυς
θῆλυς	adjective	lex29139.1_θῆλυς
θῆναι	verb	lex27236.1_θάω
θῦμα	noun	lex29149.1_θῦμα
θῦνον	verb	lex29092.1_θύνω
θῦσαι	verb	lex29125.1_θύω1
θῦσαι	verb	lex29126.1_θύω2
θῶ	verb	lex27305.1_θέω
θῶ	verb	lex27198.1_θάζω
θῶ	verb	lex27225.1_θάομαι
θῶας	noun	lex29133.1_θώς
ἰ̈́ησιν	verb	lex24364.1_εἶμι
ἰ̈ούς	noun	lex116972.1_ἰός1
ἰ̈ούς	noun	lex116973.1_ἰός2
Ζέλειαν	noun	lex2373.1_Ζέλεια
Ζῆθος	noun	lex2464.1_Ζῆθος
Ζῆν	noun	lex2415.1_Ζεύς
Ζῆν	verb	lex26673.1_ζάω
Ζῆν	verb	lex26684.1_ζέω
Ζῆν'	noun	lex2415.1_Ζεύς
Ζῆν'	adjective	lex27130.1_ζῆνος
Ζῆνα	adjective	lex27130.1_ζῆνος
Ζῆνα	noun	lex2415.1_Ζεύς
κ'	particle	lex98755.1_ἄν1
κάββαλεν	verb	lex31861.1_καταβάλλω
κάη	noun	lex29331.1_κάος
κάη	verb	lex29728.1_καίω
κάθηνται	verb	lex29201.1_κάθημαι
κάθηράν	verb	lex29810.1_καθαίρω
κάθηρε	verb	lex29810.1_καθαίρω
κάθηται	verb	lex29802.1_καθίημι
κάθιζον	verb	lex29801.1_καθίζω
κάθοιτ'	verb	lex29802.1_καθίημι
κάκ'	noun	lex29217.1_κάκη
κάκιον	adjective	lex30456.1_κακός
κάκιον	verb	lex34567.1_κηκίω
κάκιστον	adjective	lex30456.1_κακός
κάκιστος	adjective	lex30456.1_κακός
κάλαμοι	noun	lex29234.1_κάλαμος
κάλαμος	noun	lex29234.1_κάλαμος
κάλεον	verb	lex30505.1_καλέω
κάλλει	noun	lex29258.1_κάλλος
κάλλεϊ	noun	lex29258.1_κάλλος
κάλλιον	adverb	lex29252.1_κάλλιον
κάλλιον	adjective	lex30879.1_καλός
κάλλιστα	adjective	lex30879.1_καλός
κάλλιστα	adverb	lex29254.1_κάλλιστα
κάλλιστον	adjective	lex30879.1_καλός
κάλλος	noun	lex29258.1_κάλλος
κάλλους	noun	lex29258.1_κάλλος
κάλοῖς	noun	lex38734.1_κᾶλον
κάλοῖς	noun	lex29277.1_κάλως
κάλυψε	verb	lex30896.1_καλύπτω
κάλυψεν	verb	lex30896.1_καλύπτω
κάματος	noun	lex29280.1_κάματος
κάμετον	verb	lex29294.1_κάμνω
κάμηλος	noun	lex29283.1_κάμηλος
κάμησι	verb	lex29294.1_κάμνω
κάμνει	verb	lex29294.1_κάμνω
κάμνων	verb	lex29294.1_κάμνω
κάμπτειν	verb	lex29302.1_κάμπτω
κάμψειν	verb	lex29302.1_κάμπτω
κάμω	verb	lex29294.1_κάμνω
κάμωσιν	verb	lex29294.1_κάμνω
κάμωσιν	noun	lex29305.1_κάμων
κάπηλος	noun	lex29334.1_κάπηλος
κάπνισάν	verb	lex31111.1_καπνίζω
κάππεσεν	verb	lex32665.1_καταπίπτω
κάπροισιν	noun	lex29350.1_κάπρος
κάπρον	noun	lex29350.1_κάπρος
κάπρος	noun	lex29350.1_κάπρος
κάπτειν	verb	lex29352.1_κάπτω
κάρα	noun	lex29357.1_κάρα
κάρα	noun	lex29400.1_κάρρον
κάρα	noun	lex29356.1_κάρ
κάρας	noun	lex29357.1_κάρα
κάρη	verb	lex33945.1_κείρω
κάρη	noun	lex29357.1_κάρα
κάρτιστον	adjective	lex36743.1_κράτιστος
κάρτιστον	adjective	lex29406.1_κάρτιστος
κάρτος	noun	lex29407.1_κάρτος
κάρχαρον	adjective	lex29418.1_κάρχαρος
κάτ'	adjective	lex29468.1_κάτος
κάτ'	preposition	lex31485.1_κατά
κάτα	preposition	lex31485.1_κατά
κάτα	adjective	lex29468.1_κάτος
κάτεισι	verb	lex29446.1_κάτειμι
κάτεχεν	verb	lex31832.1_κατέχω
κάτοπτρον	noun	lex29465.1_κάτοπτρον
κάτω	adjective	lex29468.1_κάτος
κάτω	adverb	lex29475.1_κάτω
κάτω	verb	lex33793.1_κατόω
κάτῳ	adjective	lex29468.1_κάτος
κέ	particle	lex98755.1_ἄν1
κέαρ	noun	lex38744.1_κῆρ
κέαρι	noun	lex38744.1_κῆρ
κέαται	verb	lex34530.1_κεῖμαι
κέηται	verb	lex29578.1_κέω
κέηται	verb	lex34530.1_κεῖμαι
